model	language	task	perturbation	probing_location	dev_acc	test_acc
XLM-RoBERTa	Slovenian	person_verb		first	0.9135714285714286	0.8258706467661691
XLM-RoBERTa	Slovenian	person_verb		last	0.9921428571428572	0.9658848614072496
XLM-RoBERTa	Slovenian	verbform_verb	next1	first	0.937455579246624	0.9267945984363894
XLM-RoBERTa	Slovenian	verbform_verb	permute	first	0.9090262970859986	0.9225302061122956
XLM-RoBERTa	Slovenian	verbform_verb	permute	last	0.9971570717839375	0.982231698649609
XLM-RoBERTa	Slovenian	verbform_verb	prev1	last	0.9729921819474059	0.9324804548685146
XLM-RoBERTa	Slovenian	verbform_verb		first	0.939587775408671	0.9523809523809524
XLM-RoBERTa	Slovenian	verbform_verb		last	1.0	0.984363894811656
XLM-RoBERTa	Spanish	gender_adj	next1	first	0.8807142857142857	0.8042857142857143
XLM-RoBERTa	Spanish	gender_adj	permute	first	0.8721428571428572	0.8035714285714286
XLM-RoBERTa	Spanish	gender_adj	permute	last	0.9914285714285713	0.9385714285714286
XLM-RoBERTa	Spanish	gender_adj	prev1	last	0.8457142857142858	0.8021428571428572
XLM-RoBERTa	Spanish	gender_adj		first	0.8107142857142857	0.7814285714285714
XLM-RoBERTa	Spanish	gender_adj		last	0.9957142857142857	0.9464285714285714
XLM-RoBERTa	Spanish	gender_noun	next1	first	0.965	0.9142857142857144
XLM-RoBERTa	Spanish	gender_noun	permute	first	0.8635714285714285	0.8185714285714285
XLM-RoBERTa	Spanish	gender_noun	permute	last	0.9728571428571428	0.9450000000000001
XLM-RoBERTa	Spanish	gender_noun	prev1	last	0.955	0.9078571428571429
XLM-RoBERTa	Spanish	gender_noun		first	0.9628571428571429	0.9207142857142857
XLM-RoBERTa	Spanish	gender_noun		last	1.0	0.9735714285714285
XLM-RoBERTa	Spanish	number_adj	next1	first	0.9342857142857143	0.9592857142857143
XLM-RoBERTa	Spanish	number_adj	permute	first	0.9585714285714285	0.9578571428571429
XLM-RoBERTa	Spanish	number_adj	permute	last	1.0	1.0
XLM-RoBERTa	Spanish	number_adj	prev1	last	0.9557142857142856	0.9514285714285714
XLM-RoBERTa	Spanish	number_adj		first	0.9742857142857143	0.9528571428571428
XLM-RoBERTa	Spanish	number_adj		last	1.0	1.0
XLM-RoBERTa	Spanish	number_noun	next1	first	0.965	0.9478571428571428
XLM-RoBERTa	Spanish	number_noun	permute	first	0.9400000000000001	0.9407142857142857
XLM-RoBERTa	Spanish	number_noun	permute	last	0.9885714285714285	0.9785714285714285
XLM-RoBERTa	Spanish	number_noun	prev1	last	0.9835714285714285	0.9799999999999999
XLM-RoBERTa	Spanish	number_noun		first	0.9771428571428571	0.9557142857142856
XLM-RoBERTa	Spanish	number_noun		last	0.995	0.9799999999999999
XLM-RoBERTa	Spanish	number_verb	next1	first	0.9457142857142856	0.9471428571428572
XLM-RoBERTa	Spanish	number_verb	permute	first	0.905	0.9042857142857142
XLM-RoBERTa	Spanish	number_verb	permute	last	0.9992857142857143	0.9928571428571429
XLM-RoBERTa	Spanish	number_verb	prev1	last	0.9435714285714285	0.9328571428571429
XLM-RoBERTa	Spanish	number_verb		first	0.91	0.9085714285714286
XLM-RoBERTa	Spanish	number_verb		last	1.0	0.9914285714285713
XLM-RoBERTa	Spanish	tense_verb	next1	first	0.9485714285714285	0.8521428571428571
XLM-RoBERTa	Spanish	tense_verb	permute	first	0.8407142857142856	0.76
XLM-RoBERTa	Spanish	tense_verb	permute	last	0.9828571428571429	0.9007142857142857
XLM-RoBERTa	Spanish	tense_verb	prev1	last	0.9021428571428572	0.8321428571428571
XLM-RoBERTa	Spanish	tense_verb		first	0.8535714285714285	0.8078571428571429
XLM-RoBERTa	Spanish	tense_verb		last	0.99	0.9028571428571429
XLM-RoBERTa	Spanish	verbform_verb	next1	first	0.9042857142857142	0.8714285714285713
XLM-RoBERTa	Spanish	verbform_verb	permute	first	0.8728571428571429	0.9085714285714286
XLM-RoBERTa	Spanish	verbform_verb	permute	last	0.9535714285714285	0.9821428571428571
XLM-RoBERTa	Spanish	verbform_verb	prev1	last	0.8728571428571429	0.8592857142857142
XLM-RoBERTa	Spanish	verbform_verb		first	0.8914285714285715	0.8892857142857142
XLM-RoBERTa	Spanish	verbform_verb		last	0.955	0.9885714285714285
XLM-RoBERTa	Swedish	case_noun	next1	first	0.9328571428571429	0.8935714285714286
XLM-RoBERTa	Swedish	case_noun	permute	first	0.8671428571428572	0.7921428571428571
XLM-RoBERTa	Swedish	case_noun	permute	last	0.9964285714285713	0.975
XLM-RoBERTa	Swedish	case_noun	prev1	last	0.9892857142857142	0.9328571428571429
XLM-RoBERTa	Swedish	case_noun		first	0.915	0.8564285714285714
XLM-RoBERTa	Swedish	case_noun		last	1.0	0.9778571428571429
XLM-RoBERTa	Swedish	definite_adj	next1	first	0.8771428571428571	0.9092857142857144
XLM-RoBERTa	Swedish	definite_adj	permute	first	0.7171428571428571	0.7335714285714285
XLM-RoBERTa	Swedish	definite_adj	permute	last	0.8735714285714286	0.9128571428571429
XLM-RoBERTa	Swedish	definite_adj	prev1	last	0.8442857142857143	0.8807142857142857
XLM-RoBERTa	Swedish	definite_adj		first	0.8842857142857143	0.9142857142857144
XLM-RoBERTa	Swedish	definite_adj		last	0.937857142857143	0.965
XLM-RoBERTa	Swedish	definite_noun	next1	first	0.8957142857142858	0.9192857142857144
XLM-RoBERTa	Swedish	definite_noun	permute	first	0.8835714285714287	0.9107142857142857
XLM-RoBERTa	Swedish	definite_noun	permute	last	0.9771428571428571	0.985
XLM-RoBERTa	Swedish	definite_noun	prev1	last	0.9292857142857144	0.9257142857142858
XLM-RoBERTa	Swedish	definite_noun		first	0.8857142857142858	0.8885714285714286
XLM-RoBERTa	Swedish	definite_noun		last	0.985	0.99
XLM-RoBERTa	Swedish	gender_noun	next1	first	0.7985714285714286	0.78
XLM-RoBERTa	Swedish	gender_noun	permute	first	0.7078571428571429	0.7314285714285714
XLM-RoBERTa	Swedish	gender_noun	permute	last	0.9214285714285715	0.8871428571428571
XLM-RoBERTa	Swedish	gender_noun	prev1	last	0.8521428571428571	0.8200000000000001
XLM-RoBERTa	Swedish	gender_noun		first	0.7378571428571429	0.7642857142857142
XLM-RoBERTa	Swedish	gender_noun		last	0.9321428571428572	0.9185714285714287
XLM-RoBERTa	Swedish	number_adj	next1	first	0.8685714285714285	0.8728571428571429
XLM-RoBERTa	Swedish	number_adj	permute	first	0.7607142857142858	0.7378571428571429
XLM-RoBERTa	Swedish	number_adj	permute	last	0.865	0.8321428571428571
XLM-RoBERTa	Swedish	number_adj	prev1	last	0.8971428571428571	0.8407142857142856
XLM-RoBERTa	Swedish	number_adj		first	0.9221428571428572	0.8621428571428572
XLM-RoBERTa	Swedish	number_adj		last	0.9592857142857143	0.96
XLM-RoBERTa	Swedish	number_noun	next1	first	0.9192857142857144	0.8821428571428571
XLM-RoBERTa	Swedish	number_noun	permute	first	0.8364285714285714	0.8435714285714286
XLM-RoBERTa	Swedish	number_noun	permute	last	0.9085714285714286	0.9085714285714286
XLM-RoBERTa	Swedish	number_noun	prev1	last	0.9285714285714286	0.9135714285714286
XLM-RoBERTa	Swedish	number_noun		first	0.87	0.8471428571428571
XLM-RoBERTa	Swedish	number_noun		last	0.9492857142857142	0.9442857142857142
XLM-RoBERTa	Swedish	tense_verb	next1	first	0.9714285714285714	0.9535714285714285
XLM-RoBERTa	Swedish	tense_verb	permute	first	0.9428571428571428	0.9228571428571428
XLM-RoBERTa	Swedish	tense_verb	permute	last	0.9928571428571429	0.9892857142857142
XLM-RoBERTa	Swedish	tense_verb	prev1	last	0.9607142857142856	0.9178571428571429
XLM-RoBERTa	Swedish	tense_verb		first	0.9478571428571428	0.8864285714285715
XLM-RoBERTa	Swedish	tense_verb		last	1.0	0.9914285714285713
XLM-RoBERTa	Swedish	voice_verb	next1	first	0.9678571428571427	0.9428571428571428
XLM-RoBERTa	Swedish	voice_verb	permute	first	0.9085714285714286	0.8985714285714286
XLM-RoBERTa	Swedish	voice_verb	permute	last	0.9492857142857142	0.985
XLM-RoBERTa	Swedish	voice_verb	prev1	last	0.9714285714285714	0.9564285714285713
XLM-RoBERTa	Swedish	voice_verb		first	0.9835714285714285	0.9564285714285713
XLM-RoBERTa	Swedish	voice_verb		last	0.995	0.9871428571428572
XLM-RoBERTa	Turkish	aspect_verb	next1	first	0.9182658137882019	0.8692253020611229
XLM-RoBERTa	Turkish	aspect_verb	permute	first	0.8095238095238094	0.767590618336887
XLM-RoBERTa	Turkish	aspect_verb	permute	last	0.9701492537313434	0.92181947405828
XLM-RoBERTa	Turkish	aspect_verb	prev1	last	0.8464818763326225	0.8187633262260128
XLM-RoBERTa	Turkish	aspect_verb		first	0.8443496801705758	0.798862828713575
XLM-RoBERTa	Turkish	aspect_verb		last	0.9850746268656716	0.9154228855721394
XLM-RoBERTa	Turkish	case_noun	next1	first	0.8092892329345531	0.8114004222378607
XLM-RoBERTa	Turkish	case_noun	permute	first	0.7199155524278676	0.6847290640394089
XLM-RoBERTa	Turkish	case_noun	permute	last	0.9542575650950036	0.9479239971850809
XLM-RoBERTa	Turkish	case_noun	prev1	last	0.768472906403941	0.7487684729064039
XLM-RoBERTa	Turkish	case_noun		first	0.6988036593947925	0.6586910626319493
XLM-RoBERTa	Turkish	case_noun		last	0.9612948627726954	0.9584799437016186
XLM-RoBERTa	Turkish	number_noun	next1	first	0.9485714285714285	0.8942857142857142
XLM-RoBERTa	Turkish	number_noun	permute	first	0.9585714285714285	0.9635714285714286
XLM-RoBERTa	Turkish	number_noun	permute	last	0.9571428571428571	0.9464285714285714
XLM-RoBERTa	Turkish	number_noun	prev1	last	0.9492857142857142	0.9357142857142857
XLM-RoBERTa	Turkish	number_noun		first	0.9635714285714286	0.9442857142857142
XLM-RoBERTa	Turkish	number_noun		last	0.965	0.965
XLM-RoBERTa	Turkish	number_verb	next1	first	0.9349999999999999	0.9264285714285715
XLM-RoBERTa	Turkish	number_verb	permute	first	0.8164285714285714	0.8457142857142858
XLM-RoBERTa	Turkish	number_verb	permute	last	0.9778571428571429	0.9799999999999999
XLM-RoBERTa	Turkish	number_verb	prev1	last	0.9071428571428573	0.8857142857142858
XLM-RoBERTa	Turkish	number_verb		first	0.8664285714285713	0.8492857142857143
XLM-RoBERTa	Turkish	number_verb		last	0.9892857142857142	0.9714285714285714
XLM-RoBERTa	Turkish	person_verb	next1	first	0.8955223880597015	0.8514285714285714
XLM-RoBERTa	Turkish	person_verb	permute	first	0.7882018479033405	0.8028571428571428
XLM-RoBERTa	Turkish	person_verb	permute	last	0.9552238805970149	0.9628571428571429
XLM-RoBERTa	Turkish	person_verb	prev1	last	0.8756218905472638	0.8664285714285713
XLM-RoBERTa	Turkish	person_verb		first	0.8592750533049041	0.8207142857142857
XLM-RoBERTa	Turkish	person_verb		last	0.9751243781094528	0.9635714285714286
XLM-RoBERTa	Turkish	polarity_verb	next1	first	0.9057142857142857	0.915
XLM-RoBERTa	Turkish	polarity_verb	permute	first	0.9257142857142858	0.9128571428571429
XLM-RoBERTa	Turkish	polarity_verb	permute	last	0.9078571428571429	0.9085714285714286
XLM-RoBERTa	Turkish	polarity_verb	prev1	last	0.9642857142857143	0.9207142857142857
XLM-RoBERTa	Turkish	polarity_verb		first	0.9521428571428572	0.92
XLM-RoBERTa	Turkish	polarity_verb		last	0.9328571428571429	0.91
XLM-RoBERTa	Turkish	verbform_verb	next1	first	0.9310589907604834	0.9175550817341863
XLM-RoBERTa	Turkish	verbform_verb	permute	first	0.8855721393034826	0.8692253020611229
XLM-RoBERTa	Turkish	verbform_verb	permute	last	0.9815209665955934	0.9658848614072494
XLM-RoBERTa	Turkish	verbform_verb	prev1	last	0.9104477611940298	0.8791755508173419
XLM-RoBERTa	Turkish	verbform_verb		first	0.8770433546552949	0.8621179815209665
XLM-RoBERTa	Turkish	verbform_verb		last	0.9907604832977969	0.9864960909737029
XLM-RoBERTa	Ukrainian	animacy_noun	next1	first	0.9264285714285715	0.9028571428571429
XLM-RoBERTa	Ukrainian	animacy_noun	permute	first	0.89	0.8814285714285715
XLM-RoBERTa	Ukrainian	animacy_noun	permute	last	0.9435714285714285	0.9014285714285715
XLM-RoBERTa	Ukrainian	animacy_noun	prev1	last	0.9471428571428572	0.9121428571428571
XLM-RoBERTa	Ukrainian	animacy_noun		first	0.93	0.9214285714285715
XLM-RoBERTa	Ukrainian	animacy_noun		last	0.9628571428571429	0.937142857142857
XLM-RoBERTa	Ukrainian	aspect_verb	next1	first	0.9221428571428572	0.9021428571428572
XLM-RoBERTa	Ukrainian	aspect_verb	permute	first	0.8764285714285714	0.8864285714285715
XLM-RoBERTa	Ukrainian	aspect_verb	permute	last	0.9178571428571429	0.9278571428571428
XLM-RoBERTa	Ukrainian	aspect_verb	prev1	last	0.8878571428571428	0.9235714285714286
XLM-RoBERTa	Ukrainian	aspect_verb		first	0.9064285714285715	0.8871428571428571
XLM-RoBERTa	Ukrainian	aspect_verb		last	0.9571428571428571	0.9385714285714286
XLM-RoBERTa	Ukrainian	case_adj	next1	first	0.8185714285714285	0.8235714285714285
XLM-RoBERTa	Ukrainian	case_adj	permute	first	0.6007142857142858	0.6378571428571428
XLM-RoBERTa	Ukrainian	case_adj	permute	last	0.8392857142857143	0.8485714285714285
XLM-RoBERTa	Ukrainian	case_adj	prev1	last	0.7164285714285714	0.7885714285714286
XLM-RoBERTa	Ukrainian	case_adj		first	0.7864285714285714	0.7864285714285714
XLM-RoBERTa	Ukrainian	case_adj		last	0.9714285714285714	0.9528571428571428
XLM-RoBERTa	Ukrainian	case_noun	next1	first	0.7804363124560169	0.7549019607843137
XLM-RoBERTa	Ukrainian	case_noun	permute	first	0.6045038705137227	0.638655462184874
XLM-RoBERTa	Ukrainian	case_noun	permute	last	0.7698803659394793	0.8074229691876751
XLM-RoBERTa	Ukrainian	case_noun	prev1	last	0.8029556650246306	0.7801120448179272
XLM-RoBERTa	Ukrainian	case_noun		first	0.7762139338494018	0.7976190476190476
XLM-RoBERTa	Ukrainian	case_noun		last	0.9514426460239268	0.9397759103641457
XLM-RoBERTa	Ukrainian	gender_adj	next1	first	0.7796730632551528	0.6794598436389482
XLM-RoBERTa	Ukrainian	gender_adj	permute	first	0.6162046908315565	0.5991471215351812
XLM-RoBERTa	Ukrainian	gender_adj	permute	last	0.8393745557924662	0.8159203980099503
XLM-RoBERTa	Ukrainian	gender_adj	prev1	last	0.6062544420753376	0.5721393034825871
XLM-RoBERTa	Ukrainian	gender_adj		first	0.6588486140724947	0.6282871357498223
XLM-RoBERTa	Ukrainian	gender_adj		last	0.908315565031983	0.851457000710732
XLM-RoBERTa	Ukrainian	gender_noun	next1	first	0.7853589196872779	0.798862828713575
XLM-RoBERTa	Ukrainian	gender_noun	permute	first	0.7867803837953092	0.798862828713575
XLM-RoBERTa	Ukrainian	gender_noun	permute	last	0.8727789623312011	0.8756218905472636
XLM-RoBERTa	Ukrainian	gender_noun	prev1	last	0.8109452736318408	0.8116560056858564
XLM-RoBERTa	Ukrainian	gender_noun		first	0.8500355366027008	0.8180525941719973
XLM-RoBERTa	Ukrainian	gender_noun		last	0.923951670220327	0.8919687277896233
XLM-RoBERTa	Ukrainian	number_adj	next1	first	0.9364285714285714	0.8921428571428571
XLM-RoBERTa	Ukrainian	number_adj	permute	first	0.9128571428571429	0.8778571428571428
XLM-RoBERTa	Ukrainian	number_adj	permute	last	0.99	0.985
XLM-RoBERTa	Ukrainian	number_adj	prev1	last	0.9400000000000001	0.8935714285714286
XLM-RoBERTa	Ukrainian	number_adj		first	0.9514285714285714	0.8992857142857142
XLM-RoBERTa	Ukrainian	number_adj		last	0.995	0.99
XLM-RoBERTa	Ukrainian	number_verb	next1	first	0.8935714285714286	0.8721428571428572
XLM-RoBERTa	Ukrainian	number_verb	permute	first	0.9178571428571429	0.9114285714285714
XLM-RoBERTa	Ukrainian	number_verb	permute	last	0.995	0.9942857142857143
XLM-RoBERTa	Ukrainian	number_verb	prev1	last	0.8814285714285715	0.9107142857142857
XLM-RoBERTa	Ukrainian	number_verb		first	0.9092857142857144	0.92
XLM-RoBERTa	Ukrainian	number_verb		last	1.0	0.9971428571428572
XLM-RoBERTa	Ukrainian	tense_verb	next1	first	0.8720682302771855	0.8507462686567164
XLM-RoBERTa	Ukrainian	tense_verb	permute	first	0.8891257995735609	0.8969438521677329
XLM-RoBERTa	Ukrainian	tense_verb	permute	last	0.9680170575692965	0.9410092395167021
XLM-RoBERTa	Ukrainian	tense_verb	prev1	last	0.892679459843639	0.8699360341151385
XLM-RoBERTa	Ukrainian	tense_verb		first	0.9203980099502488	0.8592750533049041
XLM-RoBERTa	Ukrainian	tense_verb		last	0.9836531627576404	0.9566453447050461
XLM-RoBERTa	Urdu	case_noun	next1	first	0.835	0.7657142857142858
XLM-RoBERTa	Urdu	case_noun	permute	first	0.5707142857142857	0.5521428571428572
XLM-RoBERTa	Urdu	case_noun	permute	last	0.59	0.6128571428571429
XLM-RoBERTa	Urdu	case_noun	prev1	last	0.7871428571428571	0.8064285714285714
XLM-RoBERTa	Urdu	case_noun		first	0.7728571428571429	0.7278571428571429
XLM-RoBERTa	Urdu	case_noun		last	0.8892857142857142	0.885
XLM-RoBERTa	Urdu	case_propn	next1	first	0.7757142857142857	0.8028571428571428
XLM-RoBERTa	Urdu	case_propn	permute	first	0.5871428571428571	0.5407142857142857
XLM-RoBERTa	Urdu	case_propn	permute	last	0.6185714285714285	0.5728571428571428
XLM-RoBERTa	Urdu	case_propn	prev1	last	0.8099999999999999	0.8292857142857143
XLM-RoBERTa	Urdu	case_propn		first	0.7585714285714287	0.7807142857142857
XLM-RoBERTa	Urdu	case_propn		last	0.8592857142857142	0.8757142857142857
XLM-RoBERTa	Urdu	gender_noun	next1	first	0.7885714285714286	0.7457142857142857
XLM-RoBERTa	Urdu	gender_noun	permute	first	0.7557142857142857	0.7764285714285715
XLM-RoBERTa	Urdu	gender_noun	permute	last	0.8042857142857143	0.775
XLM-RoBERTa	Urdu	gender_noun	prev1	last	0.7585714285714287	0.7235714285714285
XLM-RoBERTa	Urdu	gender_noun		first	0.795	0.7957142857142857
XLM-RoBERTa	Urdu	gender_noun		last	0.8428571428571427	0.7414285714285713
XLM-RoBERTa	Urdu	number_noun	next1	first	0.9228571428571428	0.91
XLM-RoBERTa	Urdu	number_noun	permute	first	0.91	0.8435714285714285
XLM-RoBERTa	Urdu	number_noun	permute	last	0.9642857142857143	0.9071428571428573
XLM-RoBERTa	Urdu	number_noun	prev1	last	0.9492857142857142	0.8742857142857143
XLM-RoBERTa	Urdu	number_noun		first	0.9357142857142857	0.9028571428571429
XLM-RoBERTa	Urdu	number_noun		last	0.9764285714285714	0.9235714285714286
